molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL247656,C[C@@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H]1N=C(c2ccccc2)c2ccccc2N(C)C1=O,active,436.5120000000001,2.855900000000001,2.0,5.0,6.0
CHEMBL429479,CC(=O)N[C@H](Cc1ccccc1OC(F)(F)F)C(=O)N[C@@H]1CCc2ccccc2N(C(C)C)C1=O,active,491.5100000000002,3.5050000000000026,2.0,4.0,6.0
CHEMBL398855,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)C(F)(F)F)CCc2ccccc21,active,545.4800000000001,4.047400000000002,2.0,4.0,6.061480274823508
CHEMBL250303,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccc(F)cc2F)NC(=O)c2ccc(F)cc2C(F)(F)F)CCc2cc(Cl)ccc21,active,625.997,5.989800000000005,2.0,3.0,6.0
CHEMBL249148,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)c2cncnc2)CCc2ccccc21,active,555.5570000000002,3.588900000000001,2.0,6.0,6.0
CHEMBL398556,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)c2ncccn2)CCc2ccccc21,active,555.5570000000002,3.588900000000001,2.0,6.0,6.0
CHEMBL247828,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21,active,549.5900000000003,4.893600000000004,2.0,5.0,7.455931955649724
CHEMBL398242,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2c(Cl)cccc2Cl)NC(=O)c2ccc(F)cc2C(F)(F)F)CCc2cc(Cl)ccc21,active,658.9069999999999,7.018400000000005,2.0,3.0,6.97061622231479
CHEMBL251765,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2c(F)cccc2F)NC(=O)c2ccc(F)cc2C(F)(F)F)CCc2cc(Cl)ccc21,active,625.997,5.989800000000005,2.0,3.0,6.5376020021010435
CHEMBL398620,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2cc(F)ccc2F)NC(=O)c2ccc(F)cc2C(F)(F)F)CCc2cc(Cl)ccc21,active,625.997,5.989800000000005,2.0,3.0,6.634512015109101
